Iterations,Means,CI,Method
200,0.872231772,0.0007948328197,random search
300,0.872575498,0.001256735765,random search
400,0.873803094,0.0008347346259,random search
200,0.8712,0.002662,genetic algorithm
300,0.8711,0.002747,genetic algorithm
400,0.8703,0.003005,genetic algorithm
200,0.866191996071692,0,baseline
300,0.866191996071692,0,baseline
400,0.866191996071692,0,baseline
