Iterations,Means,CI,Method
200,0.63625325,0.005362049982,random search
300,0.637987856,0.002702558565,random search
400,0.638161316,0.001769242475,random search
200,0.6401,0.010575,genetic algorithm
300,0.6432,0.015505,genetic algorithm
400,0.6411,0.020112,genetic algorithm
200,0.6484375,0.001942011061,baseline
300,0.6484375,0.001942011061,baseline
400,0.6484375,0.001942011061,baseline
